Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
Rwanda,1991,RWA,960.54407,0,0.0,1.0,0.0,1,1061.9674,1102.9744,1051.5448,1080.9651,1183.1794,1061.026,1033.1268,499.96161,621.79333,688.59735,769.89972,121,73.23150208341644,8473.571561063047
Sudan,1979,SDN,1525.6663,0,0.0,0.0,1.0,1,1755.967,1945.019,1775.0667,1553.5504,1328.3289,1520.0769,1620.5887,1786.5858,1560.8138,1523.4329,1499.6135,122,-169.44948549790502,154557.79828658322
Sudan,1981,SDN,1620.5887,0,0.0,1.0,0.0,1,1520.0769,1525.6663,1755.967,1945.019,1775.0667,1786.5858,1560.8138,1523.4329,1499.6135,1595.108,1588.3019,123,183.7425329061698,25575.660664508403
Senegal,1981,SEN,2002.8448,0,0.0,0.0,1.0,1,2023.8407,2191.7229,2100.1235,2198.8127,2223.4431,2268.9763,2347.4336,2426.6499,2613.4114,2688.4033,2664.5542,124,232.14622887784913,5415.735240003843
Senegal,1988,SEN,2669.4189,0,1.0,0.0,0.0,1,2664.5542,2688.4033,2613.4114,2426.6499,2347.4336,2565.7039,2544.7698,2448.6719,2411.8245,2280.8003,2250.2163,125,-165.94683189383932,2317.014567198041
Senegal,1994,SEN,2250.2163,0,0.0,1.0,0.0,1,2280.8003,2411.8245,2448.6719,2544.7698,2565.7039,2211.3892,2289.1782,2280.5615,2335.6987,2487.7092,2378.4241,126,2.6627306155696715,439.1281030927274
Sierra Leone,1977,SLE,1226.0845,0,0.0,0.0,1.0,1,1246.3854,1299.3948,1333.1934,1335.1716,1318.5232,1238.1591,1231.3568,1171.9493,1213.3082,1254.0825,1201.8938,127,28.902373734446655,148.13316986707213
Sierra Leone,1983,SLE,1201.8938,0,0.0,1.0,0.0,1,1254.0825,1213.3082,1171.9493,1231.3568,1238.1591,1228.2966,1217.6517,1207.5646,1259.4259,1275.126,1316.6587,128,27.34229582669832,2304.464299961519
El Salvador,1989,SLV,2574.1133,0,1.0,0.0,0.0,1,2569.4939,2480.3242,2524.4783,2394.8052,2330.968,2483.282,2579.4961,2738.1023,2993.1021,3233.6453,3546.6846,129,-185.51797113494467,10059.098153975106
Serbia,2000,SRB,6846.7559,0,0.0,1.0,0.0,1,6230.3086,5286.7056,4859.6494,4300.3262,4295.3174,6463.1387,7013.9741,7613.3286,7868.4268,8662.0996,10131.822,130,-887.6246347109563,635503.7622368885
Chad,1994,TCD,1070.4832,0,0.0,1.0,0.0,1,1058.2589,1107.0542,1131.8345,1122.4689,1135.527,1060.1,1011.3525,1101.9135,1058.8101,1046.6945,973.53241,132,6.439581572821908,814.3888725915799
Togo,1979,TGO,2077.1826,0,0.0,0.0,1.0,1,2087.4856,1953.2294,1650.448,1716.8828,2093.052,1967.6349,1673.9656,1628.825,1484.5541,1457.4263,1438.0653,133,-471.9212088408881,39332.74332798136
Togo,1993,TGO,1175.8315,0,1.0,0.0,0.0,1,1444.2201,1500.6527,1632.665,1497.2522,1518.1444,1301.5087,1278.9719,1452.4694,1525.5894,1314.5455,1387.0323,134,10.658773341557435,35308.990484185364
Thailand,1997,THA,8054.271,0,1.0,0.0,0.0,1,8650.8682,7917.6992,7100.8398,6459.3105,5939.0278,7210.8101,7221.8198,7353.8521,7408.6011,7923.5488,8505.0566,135,-876.1853194234818,639599.9876075747
Turkey,1982,TUR,8096.937,0,1.0,0.0,0.0,1,8299.4033,7613.3716,7929.9858,8163.521,8643.9961,8297.9551,8550.5938,8895.8232,9242.7773,10086.835,10104.827,138,-27.45550965820985,237196.3343933828
